Dataset,Missingness Ratio,Mechanism,Iteration,Impute,ROC-AUC Score,precision,recall,sensitivity,specificity,ppv,npv,f1
breast_cancer,0.3,MNAR,5,global,1,1,1,1,1,1,1,1
breast_cancer,0.3,MNAR,6,global,1,0.903449859,0.768091992,0.76819806,0.962084619,1,0.919287802,1
breast_cancer,0.3,MNAR,7,global,1,1,0.793116017,0.788124421,1,1,0.904119421,0.816584787
breast_cancer,0.3,MNAR,8,global,1,1,0.759889641,1,1,0.927661944,1,1
breast_cancer,0.3,MNAR,9,global,1,1,1,0.777934614,1,1,0.909591033,0.817914148
breast_cancer,0.3,MNAR,10,global,1,1,1,1,0.994402795,1,1,0.8395986
open_ml_breast_cancer,0.1,MCAR,1,global,1,1,0.770741334,1,1,1,1,1
open_ml_breast_cancer,0.1,MCAR,2,global,1,0.928126659,1,0.798041671,1,1,0.933586413,1
open_ml_breast_cancer,0.1,MCAR,3,global,1,0.915657528,1,1,1,1,1,0.82100077
open_ml_breast_cancer,0.1,MCAR,4,global,1,0.92969415,1,1,1,1,0.90268894,1
open_ml_breast_cancer,0.1,MCAR,5,global,1,1,1,1,1,0.918911544,0.924791834,0.840703418
open_ml_breast_cancer,0.1,MCAR,6,global,1,1,0.941176471,0.941176471,1,1,0.976190476,0.96969697
open_ml_breast_cancer,0.1,MCAR,7,global,0.875572741,0.901238741,1,1,1,1,1,1
open_ml_breast_cancer,0.1,MCAR,8,global,1,1,1,1,1,0.931226942,0.944722129,1
open_ml_breast_cancer,0.1,MCAR,9,global,1,1,0.804298521,0.798080647,1,0.897657917,1,1
open_ml_breast_cancer,0.1,MCAR,10,global,1,0.932056866,1,0.758898965,1,1,1,1
open_ml_breast_cancer,0.1,MAR,1,global,1,0.891033071,0.941176471,0.941176471,1,1,0.976190476,0.96969697
open_ml_breast_cancer,0.1,MAR,2,global,0.90504407,0.917644185,0.764887914,1,1,1,1,0.842328225
open_ml_breast_cancer,0.1,MAR,3,global,0.89737314,1,1,0.801020512,1,1,1,0.816195816
open_ml_breast_cancer,0.1,MAR,4,global,0.906794266,1,0.757357953,1,0.993725014,1,0.94220007,1
open_ml_breast_cancer,0.1,MAR,5,global,1,1,1,0.797286251,1,0.922758365,1,1
open_ml_breast_cancer,0.1,MAR,6,global,0.879577816,1,1,1,0.993169906,0.891345752,1,0.818139472
open_ml_breast_cancer,0.1,MAR,7,global,1,1,0.769237044,1,1,1,1,1
open_ml_breast_cancer,0.1,MAR,8,global,0.894487634,1,1,1,1,1,1,1
open_ml_breast_cancer,0.1,MAR,9,global,0.91567432,0.889554304,1,1,0.970316605,0.912784927,1,0.816285984
open_ml_breast_cancer,0.1,MAR,10,global,0.918192577,1,1,1,1,0.891046404,1,0.844937995
open_ml_breast_cancer,0.1,MNAR,1,global,0.894389797,1,1,1,1,0.887634292,0.911465825,1
open_ml_breast_cancer,0.1,MNAR,2,global,0.904959137,1,1,1,0.984187671,0.889110337,0.907767293,1
open_ml_breast_cancer,0.1,MNAR,3,global,0.893861979,1,0.761353225,0.783984386,1,1,1,1
open_ml_breast_cancer,0.1,MNAR,4,global,1,1,1,1,1,0.898885548,0.914455078,1
open_ml_breast_cancer,0.1,MNAR,5,global,0.885119663,0.906727702,0.799579499,1,0.959626393,1,1,1
open_ml_breast_cancer,0.1,MNAR,6,global,1,1,0.795956416,1,1,1,1,0.832360036
open_ml_breast_cancer,0.1,MNAR,7,global,0.874201777,0.895898437,1,1,0.952090996,1,0.906453634,1
open_ml_breast_cancer,0.1,MNAR,8,global,1,1,0.799153006,1,0.9825528,0.888665287,1,1
open_ml_breast_cancer,0.1,MNAR,9,global,1,0.902318854,0.762422041,1,1,0.88831844,1,1
open_ml_breast_cancer,0.1,MNAR,10,global,1,1,0.776678049,1,1,1,1,0.8526948
open_ml_breast_cancer,0.2,MCAR,1,global,1,1,1,0.789489382,1,1,1,1
open_ml_breast_cancer,0.2,MCAR,2,global,0.899692429,0.927534996,1,0.759189243,0.955156695,0.897087568,0.945580341,0.840641084
open_ml_breast_cancer,0.2,MCAR,3,global,1,0.897728149,1,1,1,0.933339338,0.906309894,0.824219844
open_ml_breast_cancer,0.2,MCAR,4,global,0.911094154,0.892210553,0.774941355,0.769719903,0.951296792,0.896416166,1,0.842778939
open_ml_breast_cancer,0.2,MCAR,5,global,0.873911953,0.889159607,0.788941768,1,1,1,1,1
open_ml_breast_cancer,0.2,MCAR,6,global,1,1,1,1,0.984662523,1,1,1
open_ml_breast_cancer,0.2,MCAR,7,global,0.914350505,1,1,0.783728101,0.960848302,1,1,1
open_ml_breast_cancer,0.2,MCAR,8,global,0.875923893,1,1,0.758318738,0.962047351,0.925489572,1,1
open_ml_breast_cancer,0.2,MCAR,9,global,0.907119543,1,1,0.801535461,1,1,1,1
open_ml_breast_cancer,0.2,MCAR,10,global,0.900780714,1,0.798709089,1,1,0.906053627,1,0.809356215
open_ml_breast_cancer,0.2,MAR,1,global,0.889817374,1,1,0.763004655,1,1,0.899920052,0.809279918
open_ml_breast_cancer,0.2,MAR,2,global,1,0.925795438,1,0.789053776,0.980117139,1,1,1
open_ml_breast_cancer,0.2,MAR,3,global,1,0.9031667,0.941176471,0.941176471,0.949222765,0.896660797,0.976190476,0.96969697
open_ml_breast_cancer,0.2,MAR,4,global,1,0.899469262,1,1,1,1,1,1
open_ml_breast_cancer,0.2,MAR,5,global,1,0.922037321,0.782584562,0.775568869,1,1,1,0.831845912
open_ml_breast_cancer,0.2,MAR,6,global,1,0.921757674,1,1,1,1,1,1
open_ml_breast_cancer,0.2,MAR,7,global,1,1,1,0.770701036,1,1,1,1
open_ml_breast_cancer,0.2,MAR,8,global,1,1,1,1,0.988706933,0.88920626,1,1
open_ml_breast_cancer,0.2,MAR,9,global,1,1,1,1,1,1,1,1
open_ml_breast_cancer,0.2,MAR,10,global,1,1,0.941176471,0.941176471,1,1,0.976190476,0.96969697
open_ml_breast_cancer,0.2,MNAR,1,global,1,0.920207621,0.759386871,0.802230939,1,1,1,0.833715446
open_ml_breast_cancer,0.2,MNAR,2,global,0.917437079,1,1,1,1,1,0.905358639,1
open_ml_breast_cancer,0.2,MNAR,3,global,0.919754509,0.89181398,1,0.761919428,1,1,0.943883628,0.832315593
open_ml_breast_cancer,0.2,MNAR,4,global,1,1,0.784505816,1,0.963015674,0.903298322,0.920945832,1
open_ml_breast_cancer,0.2,MNAR,5,global,0.913367822,1,0.76395447,1,1,1,1,1
open_ml_breast_cancer,0.2,MNAR,6,global,1,0.909867264,0.759692309,1,1,1,0.910041523,1
open_ml_breast_cancer,0.2,MNAR,7,global,1,0.925196863,0.802934299,0.757594273,1,0.897290142,1,1
open_ml_breast_cancer,0.2,MNAR,8,global,0.875910608,1,0.783022436,0.788778164,1,1,1,1
open_ml_breast_cancer,0.2,MNAR,9,global,1,1,1,1,1,1,1,1
open_ml_breast_cancer,0.2,MNAR,10,global,0.906073657,1,1,1,1,1,0.927729655,1
open_ml_breast_cancer,0.3,MCAR,1,global,1,1,1,1,1,1,1,0.854541503
open_ml_breast_cancer,0.3,MCAR,2,global,1,0.9073438,0.783909798,0.762724309,1,1,1,1
open_ml_breast_cancer,0.3,MCAR,3,global,0.912843221,1,1,1,0.988045261,0.92749912,0.925590574,1
open_ml_breast_cancer,0.3,MCAR,4,global,1,1,0.941176471,0.941176471,1,1,0.976190476,0.96969697
open_ml_breast_cancer,0.3,MCAR,5,global,1,1,1,1,1,1,1,0.835879917
open_ml_breast_cancer,0.3,MCAR,6,global,0.876779948,1,0.758896074,1,1,1,1,1
open_ml_breast_cancer,0.3,MCAR,7,global,0.885971792,1,0.792484806,1,1,0.905014732,0.933023463,1
open_ml_breast_cancer,0.3,MCAR,8,global,1,1,0.770318408,1,0.95202688,1,1,0.809797557
open_ml_breast_cancer,0.3,MCAR,9,global,1,1,1,1,0.981443301,1,1,1
open_ml_breast_cancer,0.3,MCAR,10,global,1,1,1,1,1,1,0.939011546,0.815763175
open_ml_breast_cancer,0.3,MAR,1,global,0.918463177,1,1,1,0.985904602,1,1,1
open_ml_breast_cancer,0.3,MAR,2,global,1,0.90079072,1,1,1,1,0.935635632,0.853787458
open_ml_breast_cancer,0.3,MAR,3,global,0.918306636,1,0.795414568,0.806857239,1,1,1,1
open_ml_breast_cancer,0.3,MAR,4,global,0.876049342,1,1,1,0.971817136,1,0.938483382,0.829873367
open_ml_breast_cancer,0.3,MAR,5,global,0.882128876,1,0.771389942,1,0.979148677,1,1,1
open_ml_breast_cancer,0.3,MAR,6,global,1,0.903675671,1,1,0.973516418,0.917751051,1,1
open_ml_breast_cancer,0.3,MAR,7,global,1,0.912154159,0.941176471,0.941176471,1,0.887103156,0.976190476,0.96969697
open_ml_breast_cancer,0.3,MAR,8,global,1,1,1,0.789195295,1,1,0.933947749,0.814623017
open_ml_breast_cancer,0.3,MAR,9,global,1,0.920977387,0.941176471,0.941176471,0.967842287,1,0.976190476,0.96969697
open_ml_breast_cancer,0.3,MAR,10,global,0.916801513,1,1,0.773819283,0.979615707,1,1,1
open_ml_breast_cancer,0.3,MNAR,1,global,0.913493396,0.892259094,1,0.798367919,1,0.910310131,1,0.821744988
open_ml_breast_cancer,0.3,MNAR,2,global,1,0.909736861,0.941176471,0.941176471,0.992290702,1,0.976190476,0.96969697
open_ml_breast_cancer,0.3,MNAR,3,global,0.917379306,1,1,0.763810331,0.995115039,1,1,0.844916288
open_ml_breast_cancer,0.3,MNAR,4,global,0.883337344,1,1,1,1,1,1,0.845703909
open_ml_breast_cancer,0.3,MNAR,5,global,0.91140268,1,1,1,1,0.900144592,1,0.818192778
open_ml_breast_cancer,0.3,MNAR,6,global,0.903763483,0.892625287,0.792425707,0.780376285,1,1,1,0.831738439
open_ml_breast_cancer,0.3,MNAR,7,global,0.87860981,1,0.780347348,1,0.988016832,0.924773068,0.944142189,1
open_ml_breast_cancer,0.3,MNAR,8,global,1,1,1,1,1,1,1,1
open_ml_breast_cancer,0.3,MNAR,9,global,0.92149865,1,1,1,1,1,1,0.811709861
open_ml_breast_cancer,0.3,MNAR,10,global,1,0.911526654,0.769421381,1,1,1,1,0.830980251
pima_indians_diabetes,0.1,MCAR,1,global,1,1,0.771631083,0.7768433,0.954231772,1,1,1
pima_indians_diabetes,0.1,MCAR,2,global,0.880673004,1,1,0.801160019,1,1,0.914646191,0.835908212
pima_indians_diabetes,0.1,MCAR,3,global,0.911767089,1,1,1,1,1,1,1
pima_indians_diabetes,0.1,MCAR,4,global,1,0.893056319,1,1,1,1,0.921540055,1
pima_indians_diabetes,0.1,MCAR,5,global,1,1,0.763393484,1,1,0.919400978,1,1
pima_indians_diabetes,0.1,MCAR,6,global,1,1,1,1,1,0.91894006,1,1
pima_indians_diabetes,0.1,MCAR,7,global,1,1,0.806597659,1,1,0.886997097,0.915623204,1
pima_indians_diabetes,0.1,MCAR,8,global,1,1,1,1,1,0.900178268,1,1
pima_indians_diabetes,0.1,MCAR,9,global,1,1,1,1,1,1,1,1
pima_indians_diabetes,0.1,MCAR,10,global,1,1,0.796845679,1,0.984038679,1,1,1
pima_indians_diabetes,0.1,MAR,1,global,1,0.929035477,1,0.773151907,0.99556862,0.886249195,1,1
pima_indians_diabetes,0.1,MAR,2,global,1,1,0.791269171,0.80615747,0.971243814,1,1,0.838712504
pima_indians_diabetes,0.1,MAR,3,global,1,1,1,1,1,1,0.92748129,0.852010137
pima_indians_diabetes,0.1,MAR,4,global,0.885406279,0.928973527,1,0.778898135,0.966433813,1,1,1
pima_indians_diabetes,0.1,MAR,5,global,1,0.933744328,1,0.777067837,1,0.912121446,0.941943905,1
pima_indians_diabetes,0.1,MAR,6,global,1,1,1,0.788234205,0.962862597,1,1,1
pima_indians_diabetes,0.1,MAR,7,global,1,0.886465786,1,0.798568088,1,0.896968955,1,1
pima_indians_diabetes,0.1,MAR,8,global,1,1,0.775942792,1,0.99077692,1,1,0.853338411
pima_indians_diabetes,0.1,MAR,9,global,1,1,1,0.779540535,1,1,1,0.837266615
pima_indians_diabetes,0.1,MAR,10,global,0.882684058,1,1,1,1,1,0.935157891,0.84727517
pima_indians_diabetes,0.1,MNAR,1,global,1,1,0.794250393,1,1,1,1,1
pima_indians_diabetes,0.1,MNAR,2,global,0.902270975,0.906377993,1,1,1,1,0.937427432,1
pima_indians_diabetes,0.1,MNAR,3,global,0.887449269,1,0.790908818,1,1,1,0.94298639,1
pima_indians_diabetes,0.1,MNAR,4,global,1,1,0.791900491,1,1,0.901140564,0.936881603,1
pima_indians_diabetes,0.1,MNAR,5,global,1,0.929091416,1,1,1,1,1,1
pima_indians_diabetes,0.1,MNAR,6,global,0.920741349,1,0.79551907,0.782553613,1,1,0.905688788,1
pima_indians_diabetes,0.1,MNAR,7,global,1,1,1,0.7766996,1,0.913126127,1,1
pima_indians_diabetes,0.1,MNAR,8,global,1,0.931068039,0.759275118,1,1,0.927816049,1,1
pima_indians_diabetes,0.1,MNAR,9,global,0.921115356,1,1,0.793201036,1,1,1,1
pima_indians_diabetes,0.1,MNAR,10,global,1,1,0.794762734,1,1,1,1,1
pima_indians_diabetes,0.2,MCAR,1,global,1,1,1,0.772438609,1,0.89122252,1,1
pima_indians_diabetes,0.2,MCAR,2,global,0.893632027,0.912725236,1,1,1,0.925385484,0.940885351,1
pima_indians_diabetes,0.2,MCAR,3,global,0.920656309,1,1,1,0.947220024,0.924866558,0.920718267,0.826358993
pima_indians_diabetes,0.2,MCAR,4,global,1,0.933667046,1,1,1,1,0.930499461,1
pima_indians_diabetes,0.2,MCAR,5,global,1,0.930998263,1,1,0.972412493,1,0.938390539,0.847644045
pima_indians_diabetes,0.2,MCAR,6,global,1,1,0.793043814,1,1,0.917889996,0.927292988,1
pima_indians_diabetes,0.2,MCAR,7,global,0.876100021,1,1,1,0.947214098,0.900618208,1,0.821660445
pima_indians_diabetes,0.2,MCAR,8,global,1,0.897388576,1,1,1,1,0.913534331,1
pima_indians_diabetes,0.2,MCAR,9,global,1,1,1,0.78272243,1,1,1,1
pima_indians_diabetes,0.2,MCAR,10,global,1,0.932195559,1,0.798436824,0.991479831,1,0.93101652,1
pima_indians_diabetes,0.2,MAR,1,global,0.902030899,1,1,1,0.968142332,1,0.90802628,0.817366621
pima_indians_diabetes,0.2,MAR,2,global,1,0.893830734,1,1,0.977074109,0.905351433,1,0.854902575
pima_indians_diabetes,0.2,MAR,3,global,1,1,0.795338337,0.78684688,0.990161802,1,1,0.826884687
pima_indians_diabetes,0.2,MAR,4,global,0.899743539,0.917195257,1,1,1,1,1,1
pima_indians_diabetes,0.2,MAR,5,global,0.87908913,1,0.80465876,1,0.984884616,0.909257224,0.898386507,0.818565883
pima_indians_diabetes,0.2,MAR,6,global,0.877254888,1,1,1,1,1,1,1
pima_indians_diabetes,0.2,MAR,7,global,1,1,0.789455159,1,1,0.902469214,1,0.833384608
pima_indians_diabetes,0.2,MAR,8,global,1,0.925334012,1,0.759411765,0.974267102,1,1,1
pima_indians_diabetes,0.2,MAR,9,global,0.897842245,1,1,1,0.98641684,0.898297001,0.936415645,1
pima_indians_diabetes,0.2,MAR,10,global,0.907845678,0.928043813,1,0.763841691,1,0.931811983,1,1
pima_indians_diabetes,0.2,MNAR,1,global,1,1,0.80330886,1,1,1,1,0.850635906
pima_indians_diabetes,0.2,MNAR,2,global,1,1,1,1,0.952290774,1,1,0.831498072
pima_indians_diabetes,0.2,MNAR,3,global,1,1,1,1,0.988934914,1,0.903779546,0.852907471
pima_indians_diabetes,0.2,MNAR,4,global,1,0.920716121,1,1,0.971280857,0.933929076,0.906759458,1
pima_indians_diabetes,0.2,MNAR,5,global,0.890701147,1,0.79566985,0.784247075,0.96991169,1,1,1
pima_indians_diabetes,0.2,MNAR,6,global,1,0.892735312,0.788132036,1,0.958292152,1,0.929309998,0.842495137
pima_indians_diabetes,0.2,MNAR,7,global,0.904151799,1,1,0.76119482,1,1,1,1
pima_indians_diabetes,0.2,MNAR,8,global,1,1,1,1,0.995359561,1,1,1
pima_indians_diabetes,0.2,MNAR,9,global,1,1,1,0.803129761,1,0.896051555,1,1
pima_indians_diabetes,0.2,MNAR,10,global,1,0.897954992,0.803004535,0.782581686,0.959141333,0.924616315,0.923390406,0.813383991
pima_indians_diabetes,0.3,MCAR,1,global,0.913848599,1,1,1,1,0.920928793,1,0.853801585
pima_indians_diabetes,0.3,MCAR,2,global,0.88484356,0.928553195,1,0.76460417,1,1,1,1
pima_indians_diabetes,0.3,MCAR,3,global,1,0.929473794,1,1,1,1,1,1
pima_indians_diabetes,0.3,MCAR,4,global,1,0.930159591,1,0.762017452,0.9536928,1,1,1
pima_indians_diabetes,0.3,MCAR,5,global,1,1,1,1,1,0.904614966,1,1
pima_indians_diabetes,0.3,MCAR,6,global,1,1,0.791413584,0.764971552,0.966115107,1,1,1
pima_indians_diabetes,0.3,MCAR,7,global,1,1,1,1,1,0.894418327,1,1
pima_indians_diabetes,0.3,MCAR,8,global,1,0.920984818,0.792478346,1,1,1,1,1
pima_indians_diabetes,0.3,MCAR,9,global,1,0.908776534,1,0.775038227,0.994995631,1,1,1
pima_indians_diabetes,0.3,MCAR,10,global,1,1,1,1,1,1,0.927543241,0.846688144
pima_indians_diabetes,0.3,MAR,1,global,1,0.89375428,1,0.78600017,0.977004078,1,1,1
pima_indians_diabetes,0.3,MAR,2,global,1,1,1,1,1,1,1,1
pima_indians_diabetes,0.3,MAR,3,global,1,1,1,1,1,0.885350893,1,1
pima_indians_diabetes,0.3,MAR,4,global,0.889952702,1,1,1,1,0.930079352,0.93460092,1
pima_indians_diabetes,0.3,MAR,5,global,1,1,0.774044509,1,1,1,0.937332779,0.84790355
pima_indians_diabetes,0.3,MAR,6,global,1,0.894457514,1,0.771118627,0.95233937,0.921903386,1,1
pima_indians_diabetes,0.3,MAR,7,global,1,0.915800292,1,1,1,1,0.946624012,0.812860788
pima_indians_diabetes,0.3,MAR,8,global,1,1,0.7854206,0.792951492,0.971332019,0.928444377,1,1
pima_indians_diabetes,0.3,MAR,9,global,0.90689157,0.890978591,0.778081648,1,0.948124874,1,1,0.828180179
pima_indians_diabetes,0.3,MAR,10,global,1,1,0.79491522,1,1,1,0.907712768,0.814135539
pima_indians_diabetes,0.3,MNAR,1,global,0.922809835,0.917544939,0.776281442,1,0.992050649,1,1,1
pima_indians_diabetes,0.3,MNAR,2,global,1,1,1,1,1,1,1,1
pima_indians_diabetes,0.3,MNAR,3,global,1,0.910367264,0.796546296,0.769410634,1,0.889322247,1,0.808888945
pima_indians_diabetes,0.3,MNAR,4,global,1,1,0.776003195,1,1,1,1,1
pima_indians_diabetes,0.3,MNAR,5,global,0.9156639,1,1,1,0.953687497,0.89293737,1,1
pima_indians_diabetes,0.3,MNAR,6,global,1,1,1,0.77308833,0.98503947,1,1,1
pima_indians_diabetes,0.3,MNAR,7,global,0.875118247,1,0.799662004,1,0.989795515,1,0.933493293,0.808252533
pima_indians_diabetes,0.3,MNAR,8,global,0.889662816,1,0.757763257,0.774462165,1,1,1,0.823921712
pima_indians_diabetes,0.3,MNAR,9,global,0.90231117,0.88721378,1,1,1,1,1,1
pima_indians_diabetes,0.3,MNAR,10,global,1,0.929883051,1,1,1,1,1,1
breast_cancer,0.1,MCAR,1,semi-global,0.908450704,0.912444802,0.704225352,0.704225352,1,1,0.671875,0.826446281
breast_cancer,0.1,MCAR,2,semi-global,0.971830986,0.930260565,0.802816901,0.802816901,1,1,0.754385965,0.890625
breast_cancer,0.1,MCAR,3,semi-global,0.905011464,0.98245614,0.788732394,0.788732394,0.976744186,0.98245614,0.736842105,0.875
breast_cancer,0.1,MCAR,4,semi-global,0.873239437,1,0.676056338,0.676056338,1,1,0.651515152,0.806722689
breast_cancer,0.1,MCAR,5,semi-global,0.929577465,0.921672673,0.746478873,0.746478873,1,1,0.704918033,0.85483871
